hypothesis_id,birth_model,partition,direction_source,split_version,control_kind,control_description,event_count,jaccard_with_real,overlap_with_real,expected_overlap_fraction,mean_return,mean_excess_return,up_rate,delta_mean_excess_vs_real,p_value,p_value_lower,p_value_upper,p_value_method,draws,control_mean_std,decisive,verdict,warnings
HYP-BZ-CAL-001,listing_close_v1,OOS,calibrated,phase3-oos-v1,random_model_direction,在每个 as_of 内保持命中数量不变，把命中位置随机重新指派给池内股票，检验「具体哪些股票命中」是否携带信息。,874,,,,-0.020142,-0.020142,,0.002746,0.2835820895522388,0.7213930348258707,0.2835820895522388,permutation_one_sided,200.0,0.004895,True,outperform,本对照只随机化命中位置，保留每日命中数量；若真实事件集合接近整个池（如原始 BAZI_POS 正向率 96%），本对照会退化。
HYP-BZ-CAL-001,listing_close_v1,OOS,calibrated,phase3-oos-v1,shifted_birth_date_minus_7d,把出生时间平移 -7 天后重新排盘、重算因子，在真实 TRAIN 冻结阈值下重新求解事件集合。,857,0.163411,251.0,,-0.014857,-0.014857,0.452854,-0.002538,0.7845668539735158,,,welch_normal_approx,,,True,underperform,
HYP-BZ-CAL-001,listing_close_v1,OOS,calibrated,phase3-oos-v1,shifted_birth_date_plus_7d,把出生时间平移 +7 天后重新排盘、重算因子，在真实 TRAIN 冻结阈值下重新求解事件集合。,891,0.141693,226.0,,-0.028446,-0.028446,0.448687,0.01105,0.24146261432843064,,,welch_normal_approx,,,True,outperform,
HYP-BZ-CAL-001,ipo_approx_v1,OOS,calibrated,phase3-oos-v1,random_event_position,"从同一分区的可用 (股票, as_of) 池中随机抽取与真实事件相同数量的事件（200 次置换），检验真实事件位置是否优于随机位置。",813,0.124506,189.0,0.246887,-0.022291,-0.022291,0.447312,0.009982,0.04975124378109453,0.9552238805970149,0.04975124378109453,permutation_one_sided,200.0,0.00558,True,outperform,
HYP-BZ-CAL-001,ipo_approx_v1,OOS,calibrated,phase3-oos-v1,random_birth_assignment,在同一 as_of 内把命盘（引擎方向向量）随机置换到池内其它股票，保持每日横截面分布不变，破坏「股票↔命盘」对应关系。,813,,,,-0.021375,-0.021375,,0.009066,0.03980099502487562,0.9651741293532339,0.03980099502487562,permutation_one_sided,200.0,0.004879,True,outperform,随机出生指派只检验『股票↔命盘对应关系』是否携带信息，不能检验「同一命盘在不同日期是否有效」；后者由随机事件位置对照承担。
HYP-BZ-CAL-001,ipo_approx_v1,OOS,calibrated,phase3-oos-v1,random_model_direction,在每个 as_of 内保持命中数量不变，把命中位置随机重新指派给池内股票，检验「具体哪些股票命中」是否携带信息。,813,,,,-0.021568,-0.021568,,0.009259,0.029850746268656716,0.9751243781094527,0.029850746268656716,permutation_one_sided,200.0,0.004846,True,outperform,本对照只随机化命中位置，保留每日命中数量；若真实事件集合接近整个池（如原始 BAZI_POS 正向率 96%），本对照会退化。
HYP-BZ-CAL-001,ipo_approx_v1,OOS,calibrated,phase3-oos-v1,shifted_birth_date_minus_7d,把出生时间平移 -7 天后重新排盘、重算因子，在真实 TRAIN 冻结阈值下重新求解事件集合。,947,0.111715,185.0,,-0.020021,-0.020021,0.453596,0.007711,0.3859535887665654,,,welch_normal_approx,,,True,outperform,
HYP-BZ-CAL-001,ipo_approx_v1,OOS,calibrated,phase3-oos-v1,shifted_birth_date_plus_7d,把出生时间平移 +7 天后重新排盘、重算因子，在真实 TRAIN 冻结阈值下重新求解事件集合。,881,0.121997,193.0,,-0.016501,-0.016501,0.444853,0.004191,0.6389578909071156,,,welch_normal_approx,,,True,outperform,
HYP-ZW-RAW-001,listing_open_v1,OOS,raw,phase3-oos-v1,random_event_position,"从同一分区的可用 (股票, as_of) 池中随机抽取与真实事件相同数量的事件（200 次置换），检验真实事件位置是否优于随机位置。",755,0.120848,171.0,0.229274,-0.023263,-0.023263,0.447312,0.004035,0.24875621890547264,0.7562189054726368,0.24875621890547264,permutation_one_sided,200.0,0.00554,True,outperform,
HYP-ZW-RAW-001,listing_open_v1,OOS,raw,phase3-oos-v1,random_birth_assignment,在同一 as_of 内把命盘（引擎方向向量）随机置换到池内其它股票，保持每日横截面分布不变，破坏「股票↔命盘」对应关系。,755,,,,-0.022263,-0.022263,,0.003035,0.29850746268656714,0.7064676616915423,0.29850746268656714,permutation_one_sided,200.0,0.005324,True,outperform,随机出生指派只检验『股票↔命盘对应关系』是否携带信息，不能检验「同一命盘在不同日期是否有效」；后者由随机事件位置对照承担。
HYP-ZW-RAW-001,listing_open_v1,OOS,raw,phase3-oos-v1,random_model_direction,在每个 as_of 内保持命中数量不变，把命中位置随机重新指派给池内股票，检验「具体哪些股票命中」是否携带信息。,755,,,,-0.0217,-0.0217,,0.002472,0.3283582089552239,0.6766169154228856,0.3283582089552239,permutation_one_sided,200.0,0.005851,True,outperform,本对照只随机化命中位置，保留每日命中数量；若真实事件集合接近整个池（如原始 BAZI_POS 正向率 96%），本对照会退化。
HYP-ZW-RAW-001,listing_open_v1,OOS,raw,phase3-oos-v1,shifted_birth_date_minus_7d,把出生时间平移 -7 天后重新排盘、重算因子，在真实 TRAIN 冻结阈值下重新求解事件集合。,975,0.235294,344.0,,-0.013897,-0.013897,0.448819,-0.005331,0.5268122104832855,,,welch_normal_approx,,,True,underperform,
HYP-ZW-RAW-001,listing_open_v1,OOS,raw,phase3-oos-v1,shifted_birth_date_plus_7d,把出生时间平移 +7 天后重新排盘、重算因子，在真实 TRAIN 冻结阈值下重新求解事件集合。,884,0.203509,290.0,,-0.032546,-0.032546,0.404203,0.013318,0.12994570676768502,,,welch_normal_approx,,,True,outperform,
HYP-ZW-RAW-001,listing_close_v1,OOS,raw,phase3-oos-v1,random_event_position,"从同一分区的可用 (股票, as_of) 池中随机抽取与真实事件相同数量的事件（200 次置换），检验真实事件位置是否优于随机位置。",974,0.156374,276.0,0.295779,-0.022946,-0.022946,0.447312,0.000552,0.46766169154228854,0.5373134328358209,0.46766169154228854,permutation_one_sided,200.0,0.004822,True,outperform,
HYP-ZW-RAW-001,listing_close_v1,OOS,raw,phase3-oos-v1,random_birth_assignment,在同一 as_of 内把命盘（引擎方向向量）随机置换到池内其它股票，保持每日横截面分布不变，破坏「股票↔命盘」对应关系。,974,,,,-0.023723,-0.023723,,0.00133,0.3880597014925373,0.6169154228855721,0.3880597014925373,permutation_one_sided,200.0,0.004388,True,outperform,随机出生指派只检验『股票↔命盘对应关系』是否携带信息，不能检验「同一命盘在不同日期是否有效」；后者由随机事件位置对照承担。
HYP-ZW-RAW-001,listing_close_v1,OOS,raw,phase3-oos-v1,random_model_direction,在每个 as_of 内保持命中数量不变，把命中位置随机重新指派给池内股票，检验「具体哪些股票命中」是否携带信息。,974,,,,-0.023522,-0.023522,,0.001129,0.4427860696517413,0.5621890547263682,0.4427860696517413,permutation_one_sided,200.0,0.004603,True,outperform,本对照只随机化命中位置，保留每日命中数量；若真实事件集合接近整个池（如原始 BAZI_POS 正向率 96%），本对照会退化。
HYP-ZW-RAW-001,listing_close_v1,OOS,raw,phase3-oos-v1,shifted_birth_date_minus_7d,把出生时间平移 -7 天后重新排盘、重算因子，在真实 TRAIN 冻结阈值下重新求解事件集合。,1057,0.251621,427.0,,-0.017657,-0.017657,0.453886,-0.004736,0.5434734042850695,,,welch_normal_approx,,,True,underperform,
HYP-ZW-RAW-001,listing_close_v1,OOS,raw,phase3-oos-v1,shifted_birth_date_plus_7d,把出生时间平移 +7 天后重新排盘、重算因子，在真实 TRAIN 冻结阈值下重新求解事件集合。,1057,0.27491,458.0,,-0.023399,-0.023399,0.439126,0.001005,0.8952884530122363,,,welch_normal_approx,,,True,outperform,
HYP-ZW-RAW-001,ipo_approx_v1,OOS,raw,phase3-oos-v1,random_event_position,"从同一分区的可用 (股票, as_of) 池中随机抽取与真实事件相同数量的事件（200 次置换），检验真实事件位置是否优于随机位置。",889,0.150617,244.0,0.269967,-0.022543,-0.022543,0.447312,0.008647,0.07462686567164178,0.9303482587064676,0.07462686567164178,permutation_one_sided,200.0,0.005516,True,outperform,
HYP-ZW-RAW-001,ipo_approx_v1,OOS,raw,phase3-oos-v1,random_birth_assignment,在同一 as_of 内把命盘（引擎方向向量）随机置换到池内其它股票，保持每日横截面分布不变，破坏「股票↔命盘」对应关系。,889,,,,-0.018751,-0.018751,,0.004854,0.1791044776119403,0.8258706467661692,0.1791044776119403,permutation_one_sided,200.0,0.005093,True,outperform,随机出生指派只检验『股票↔命盘对应关系』是否携带信息，不能检验「同一命盘在不同日期是否有效」；后者由随机事件位置对照承担。
HYP-ZW-RAW-001,ipo_approx_v1,OOS,raw,phase3-oos-v1,random_model_direction,在每个 as_of 内保持命中数量不变，把命中位置随机重新指派给池内股票，检验「具体哪些股票命中」是否携带信息。,889,,,,-0.019394,-0.019394,,0.005497,0.13930348258706468,0.8656716417910447,0.13930348258706468,permutation_one_sided,200.0,0.004769,True,outperform,本对照只随机化命中位置，保留每日命中数量；若真实事件集合接近整个池（如原始 BAZI_POS 正向率 96%），本对照会退化。
HYP-ZW-RAW-001,ipo_approx_v1,OOS,raw,phase3-oos-v1,shifted_birth_date_minus_7d,把出生时间平移 -7 天后重新排盘、重算因子，在真实 TRAIN 冻结阈值下重新求解事件集合。,894,0.222368,340.0,,-0.024409,-0.024409,0.46201,0.010512,0.23325645939062098,,,welch_normal_approx,,,True,outperform,
HYP-ZW-RAW-001,ipo_approx_v1,OOS,raw,phase3-oos-v1,shifted_birth_date_plus_7d,把出生时间平移 +7 天后重新排盘、重算因子，在真实 TRAIN 冻结阈值下重新求解事件集合。,831,0.235294,344.0,,-0.019228,-0.019228,0.454305,0.005331,0.5268122104832855,,,welch_normal_approx,,,True,outperform,
HYP-ZW-CAL-001,listing_open_v1,OOS,calibrated,phase3-oos-v1,random_event_position,"从同一分区的可用 (股票, as_of) 池中随机抽取与真实事件相同数量的事件（200 次置换），检验真实事件位置是否优于随机位置。",678,0.108171,139.0,0.205891,-0.022873,-0.022873,0.447312,0.002359,0.3482587064676617,0.6567164179104478,0.3482587064676617,permutation_one_sided,200.0,0.006859,True,outperform,
HYP-ZW-CAL-001,listing_open_v1,OOS,calibrated,phase3-oos-v1,random_birth_assignment,在同一 as_of 内把命盘（引擎方向向量）随机置换到池内其它股票，保持每日横截面分布不变，破坏「股票↔命盘」对应关系。,678,,,,-0.023319,-0.023319,,0.002804,0.32338308457711445,0.681592039800995,0.32338308457711445,permutation_one_sided,200.0,0.005859,True,outperform,随机出生指派只检验『股票↔命盘对应关系』是否携带信息，不能检验「同一命盘在不同日期是否有效」；后者由随机事件位置对照承担。
HYP-ZW-CAL-001,listing_open_v1,OOS,calibrated,phase3-oos-v1,random_model_direction,在每个 as_of 内保持命中数量不变，把命中位置随机重新指派给池内股票，检验「具体哪些股票命中」是否携带信息。,678,,,,-0.02344,-0.02344,,0.002925,0.31343283582089554,0.6915422885572139,0.31343283582089554,permutation_one_sided,200.0,0.005832,True,outperform,本对照只随机化命中位置，保留每日命中数量；若真实事件集合接近整个池（如原始 BAZI_POS 正向率 96%），本对照会退化。
HYP-ZW-CAL-001,listing_open_v1,OOS,calibrated,phase3-oos-v1,shifted_birth_date_minus_7d,把出生时间平移 -7 天后重新排盘、重算因子，在真实 TRAIN 冻结阈值下重新求解事件集合。,896,0.222636,299.0,,-0.015797,-0.015797,0.446626,-0.004718,0.600877303774932,,,welch_normal_approx,,,True,underperform,
HYP-ZW-CAL-001,listing_open_v1,OOS,calibrated,phase3-oos-v1,shifted_birth_date_plus_7d,把出生时间平移 +7 天后重新排盘、重算因子，在真实 TRAIN 冻结阈值下重新求解事件集合。,793,0.194876,251.0,,-0.0351,-0.0351,0.398072,0.014585,0.1200840411017868,,,welch_normal_approx,,,True,outperform,
HYP-ZW-CAL-001,listing_close_v1,OOS,calibrated,phase3-oos-v1,random_event_position,"从同一分区的可用 (股票, as_of) 池中随机抽取与真实事件相同数量的事件（200 次置换），检验真实事件位置是否优于随机位置。",720,0.126771,170.0,0.218646,-0.022674,-0.022674,0.447312,-0.00316,0.6915422885572139,0.31343283582089554,0.6915422885572139,permutation_one_sided,200.0,0.005444,True,underperform,
HYP-ZW-CAL-001,listing_close_v1,OOS,calibrated,phase3-oos-v1,random_birth_assignment,在同一 as_of 内把命盘（引擎方向向量）随机置换到池内其它股票，保持每日横截面分布不变，破坏「股票↔命盘」对应关系。,720,,,,-0.023329,-0.023329,,-0.002505,0.7213930348258707,0.2835820895522388,0.7213930348258707,permutation_one_sided,200.0,0.005021,True,underperform,随机出生指派只检验『股票↔命盘对应关系』是否携带信息，不能检验「同一命盘在不同日期是否有效」；后者由随机事件位置对照承担。
HYP-ZW-CAL-001,listing_close_v1,OOS,calibrated,phase3-oos-v1,random_model_direction,在每个 as_of 内保持命中数量不变，把命中位置随机重新指派给池内股票，检验「具体哪些股票命中」是否携带信息。,720,,,,-0.023809,-0.023809,,-0.002025,0.6417910447761194,0.36318407960199006,0.6417910447761194,permutation_one_sided,200.0,0.005838,True,underperform,本对照只随机化命中位置，保留每日命中数量；若真实事件集合接近整个池（如原始 BAZI_POS 正向率 96%），本对照会退化。
HYP-ZW-CAL-001,listing_close_v1,OOS,calibrated,phase3-oos-v1,shifted_birth_date_minus_7d,把出生时间平移 -7 天后重新排盘、重算因子，在真实 TRAIN 冻结阈值下重新求解事件集合。,755,0.191981,249.0,,-0.017741,-0.017741,0.456934,-0.008093,0.38718009774978274,,,welch_normal_approx,,,True,underperform,
HYP-ZW-CAL-001,listing_close_v1,OOS,calibrated,phase3-oos-v1,shifted_birth_date_plus_7d,把出生时间平移 +7 天后重新排盘、重算因子，在真实 TRAIN 冻结阈值下重新求解事件集合。,749,0.209741,267.0,,-0.029879,-0.029879,0.426254,0.004045,0.6477364194335038,,,welch_normal_approx,,,True,outperform,
HYP-ZW-CAL-001,ipo_approx_v1,OOS,calibrated,phase3-oos-v1,random_event_position,"从同一分区的可用 (股票, as_of) 池中随机抽取与真实事件相同数量的事件（200 次置换），检验真实事件位置是否优于随机位置。",743,0.106458,150.0,0.22563,-0.02312,-0.02312,0.447312,0.004631,0.17412935323383086,0.8308457711442786,0.17412935323383086,permutation_one_sided,200.0,0.005997,True,outperform,
HYP-ZW-CAL-001,ipo_approx_v1,OOS,calibrated,phase3-oos-v1,random_birth_assignment,在同一 as_of 内把命盘（引擎方向向量）随机置换到池内其它股票，保持每日横截面分布不变，破坏「股票↔命盘」对应关系。,743,,,,-0.01975,-0.01975,,0.001262,0.4427860696517413,0.5621890547263682,0.4427860696517413,permutation_one_sided,200.0,0.005769,True,outperform,随机出生指派只检验『股票↔命盘对应关系』是否携带信息，不能检验「同一命盘在不同日期是否有效」；后者由随机事件位置对照承担。
HYP-ZW-CAL-001,ipo_approx_v1,OOS,calibrated,phase3-oos-v1,random_model_direction,在每个 as_of 内保持命中数量不变，把命中位置随机重新指派给池内股票，检验「具体哪些股票命中」是否携带信息。,743,,,,-0.019603,-0.019603,,0.001114,0.3781094527363184,0.6268656716417911,0.3781094527363184,permutation_one_sided,200.0,0.0053,True,outperform,本对照只随机化命中位置，保留每日命中数量；若真实事件集合接近整个池（如原始 BAZI_POS 正向率 96%），本对照会退化。
HYP-ZW-CAL-001,ipo_approx_v1,OOS,calibrated,phase3-oos-v1,shifted_birth_date_minus_7d,把出生时间平移 -7 天后重新排盘、重算因子，在真实 TRAIN 冻结阈值下重新求解事件集合。,745,0.190694,250.0,,-0.030006,-0.030006,0.474074,0.011517,0.2456976644800145,,,welch_normal_approx,,,True,outperform,
HYP-ZW-CAL-001,ipo_approx_v1,OOS,calibrated,phase3-oos-v1,shifted_birth_date_plus_7d,把出生时间平移 +7 天后重新排盘、重算因子，在真实 TRAIN 冻结阈值下重新求解事件集合。,687,0.2024,253.0,,-0.025146,-0.025146,0.439297,0.006657,0.4748667967159547,,,welch_normal_approx,,,True,outperform,
HYP-HL-RAW-001,listing_open_v1,OOS,raw,phase3-oos-v1,random_event_position,"从同一分区的可用 (股票, as_of) 池中随机抽取与真实事件相同数量的事件（200 次置换），检验真实事件位置是否优于随机位置。",1459,0.243277,579.0,0.443061,-0.022452,-0.022452,0.447312,-0.016963,1.0,0.004975124378109453,1.0,permutation_one_sided,200.0,0.003585,True,underperform,
HYP-HL-RAW-001,listing_open_v1,OOS,raw,phase3-oos-v1,random_birth_assignment,在同一 as_of 内把命盘（引擎方向向量）随机置换到池内其它股票，保持每日横截面分布不变，破坏「股票↔命盘」对应关系。,1459,,,,-0.040928,-0.040928,,0.001512,0.3034825870646766,0.7014925373134329,0.3034825870646766,permutation_one_sided,200.0,0.002444,True,outperform,随机出生指派只检验『股票↔命盘对应关系』是否携带信息，不能检验「同一命盘在不同日期是否有效」；后者由随机事件位置对照承担。
HYP-HL-RAW-001,listing_open_v1,OOS,raw,phase3-oos-v1,random_model_direction,在每个 as_of 内保持命中数量不变，把命中位置随机重新指派给池内股票，检验「具体哪些股票命中」是否携带信息。,1459,,,,-0.040563,-0.040563,,0.001148,0.3482587064676617,0.6567164179104478,0.3482587064676617,permutation_one_sided,200.0,0.002762,True,outperform,本对照只随机化命中位置，保留每日命中数量；若真实事件集合接近整个池（如原始 BAZI_POS 正向率 96%），本对照会退化。
HYP-HL-RAW-001,listing_open_v1,OOS,raw,phase3-oos-v1,shifted_birth_date_minus_7d,把出生时间平移 -7 天后重新排盘、重算因子，在真实 TRAIN 冻结阈值下重新求解事件集合。,1502,0.533197,1044.0,,-0.040068,-0.040068,0.395476,0.000653,0.9210170696092246,,,welch_normal_approx,,,True,outperform,
HYP-HL-RAW-001,listing_open_v1,OOS,raw,phase3-oos-v1,shifted_birth_date_plus_7d,把出生时间平移 +7 天后重新排盘、重算因子，在真实 TRAIN 冻结阈值下重新求解事件集合。,1466,0.493454,980.0,,-0.040309,-0.040309,0.401553,0.000893,0.8909703334587578,,,welch_normal_approx,,,True,outperform,
HYP-HL-RAW-001,listing_close_v1,OOS,raw,phase3-oos-v1,random_event_position,"从同一分区的可用 (股票, as_of) 池中随机抽取与真实事件相同数量的事件（200 次置换），检验真实事件位置是否优于随机位置。",1469,0.279759,651.0,0.446098,-0.022962,-0.022962,0.447312,-0.020919,1.0,0.004975124378109453,1.0,permutation_one_sided,200.0,0.003384,True,underperform,
